FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
엔핑탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,1285 번지,덕릉로,780,37.66669198,127.079126,1647,서울특별시 노원구 덕릉로 780,서울특별시 노원구 상계동 1285 동아불암아파트,,,N,N,N,N,20221104
킹탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,107-995 번지,덕릉로,792,37.66769745,127.0792962,1646,서울특별시 노원구 덕릉로 792,서울특별시 노원구 상계동 107-995 당고개빌딩,,,Y,N,Y,N,20221104
킹탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,107-995 번지,덕릉로,792,37.66769745,127.0792962,1646,서울특별시 노원구 덕릉로 792,서울특별시 노원구 상계동 107-995 당고개빌딩,,,N,N,N,N,20221104
한양탁구,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,1372-4 번지,덕릉로,849,37.67209511,127.0826055,1634,서울특별시 노원구 덕릉로 849,서울특별시 노원구 상계동 1372-4 한양탁구장,,,Y,N,Y,N,20221104
한양탁구,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,1372-4 번지,덕릉로,849,37.67209511,127.0826055,1634,서울특별시 노원구 덕릉로 849,서울특별시 노원구 상계동 1372-4 한양탁구장,,,N,N,N,N,20221104
바나나롤러연습장,레저/체육/공원,지역레저시설,스케이트장,서울특별시,노원구,중계동,,445 번지,덕릉로79길,35,37.65717355,127.0725692,1701,서울특별시 노원구 덕릉로79길 35,서울특별시 노원구 중계동 445 염광아파트 상가,,,Y,N,Y,Y,20221104
바나나롤러연습장,레저/체육/공원,지역레저시설,스케이트장,서울특별시,노원구,중계동,,445 번지,덕릉로79길,35,37.65717355,127.0725692,1701,서울특별시 노원구 덕릉로79길 35,서울특별시 노원구 중계동 445 염광아파트 상가,,,N,N,N,N,20221104
하이골프 공릉점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,576-19 번지,동일로,1021,37.62127746,127.074095,1858,서울특별시 노원구 동일로 1021,서울특별시 노원구 공릉동 576-19 하이서울빌딩,029712001,,Y,N,Y,Y,20221104
하이골프 공릉점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,576-19 번지,동일로,1021,37.62127746,127.074095,1858,서울특별시 노원구 동일로 1021,서울특별시 노원구 공릉동 576-19 하이서울빌딩,029712001,,N,N,N,N,20221104
공릉탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,공릉동,,362-1 번지,동일로,1106,37.62875418,127.0718062,1839,서울특별시 노원구 동일로 1106,서울특별시 노원구 공릉동 362-1,029717400,,Y,N,Y,N,20221104
