FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
은빛테니스장,레저/체육/공원,지역체육시설,테니스장,서울특별시,노원구,상계동,,1255 번지,동일로245길,162,37.68082342,127.0542201,1603,서울특별시 노원구 동일로245길 162,서울특별시 노원구 상계동 1255 은빛1단지아파트,,,N,N,N,N,20221104
골프존GDR 수락골프연습장,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1269 번지,동일로248길,16,37.67899694,127.0567341,1624,서울특별시 노원구 동일로248길 16,서울특별시 노원구 상계동 1269 수락파크빌아파트,029300037,,Y,N,Y,Y,20221104
골프존GDR 수락골프연습장,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1269 번지,동일로248길,16,37.67899694,127.0567341,1624,서울특별시 노원구 동일로248길 16,서울특별시 노원구 상계동 1269 수락파크빌아파트,029300037,,N,N,N,N,20221104
알바트로스골프장,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1265 번지,동일로250길,18,37.68184246,127.0569993,1623,서울특별시 노원구 동일로250길 18,서울특별시 노원구 상계동 1265 수락산벨리체아파트,029870755,,Y,N,Y,Y,20221104
알바트로스골프장,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,1265 번지,동일로250길,18,37.68184246,127.0569993,1623,서울특별시 노원구 동일로250길 18,서울특별시 노원구 상계동 1265 수락산벨리체아파트,029870755,,N,N,N,N,20221104
W스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,월계동,,18 번지,마들로,31,37.61872411,127.067083,1913,서울특별시 노원구 마들로 31,서울특별시 노원구 월계동 18 그랑빌아파트,029747799,http://www.golfzon.com/wscreengolf,Y,N,Y,Y,20221104
W스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,월계동,,18 번지,마들로,31,37.61872411,127.067083,1913,서울특별시 노원구 마들로 31,서울특별시 노원구 월계동 18 그랑빌아파트,029747799,http://www.golfzon.com/wscreengolf,N,N,N,N,20221104
한내근린공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,월계동,,1-1 번지,마들로,86,37.62358892,127.0687828,1912,서울특별시 노원구 마들로 86,서울특별시 노원구 월계동 1-1,,,N,Y,Y,Y,20221104
한내근린공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,월계동,,1-1 번지,마들로,86,37.62358892,127.0687828,1912,서울특별시 노원구 마들로 86,서울특별시 노원구 월계동 1-1,,,N,N,N,N,20221104
SMC 풋살 PARK 이마트점,레저/체육/공원,지역체육시설,풋살장,서울특별시,노원구,월계동,,322-1 번지,마들로3길,37,37.62860679,127.0627968,1907,서울특별시 노원구 마들로3길 37,서울특별시 노원구 월계동 322-1 성원아파트,0233918084,http://instagram.com/smc_park,N,N,Y,N,20221104
SMC 풋살 PARK 이마트점,레저/체육/공원,지역체육시설,풋살장,서울특별시,노원구,월계동,,322-1 번지,마들로3길,37,37.62860679,127.0627968,1907,서울특별시 노원구 마들로3길 37,서울특별시 노원구 월계동 322-1 성원아파트,0233918084,http://instagram.com/smc_park,N,N,N,N,20221104
월계배드민턴전용구장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,월계동,,63-1 번지,마들로5가길,113,37.63836253,127.0517392,1866,서울특별시 노원구 마들로5가길 113,서울특별시 노원구 월계동 산63-1 초안산스포츠타운,0222896863,,Y,N,Y,Y,20221104
월계배드민턴전용구장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,노원구,월계동,,63-1 번지,마들로5가길,113,37.63836253,127.0517392,1866,서울특별시 노원구 마들로5가길 113,서울특별시 노원구 월계동 산63-1 초안산스포츠타운,0222896863,,N,N,N,N,20221104
초안산골프연습장,레저/체육/공원,지역레저시설,실외골프연습장,서울특별시,노원구,월계동,,69 번지,마들로5가길,27-17,37.63871444,127.05437,1867,서울특별시 노원구 마들로5가길 27-17,서울특별시 노원구 월계동 산69 도암녹천골프센터,029910102,https://choansangolf.modoo.at/,Y,N,Y,N,20221104
