NAME,TYPE,LOCATION,TAG,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,LAT,LON
이너멜핏,헬스/휘트니스,서울특별시 관악구 신림동 신림로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4865326,126.9292144
마음가짐PT11STUDIO,헬스/휘트니스,서울특별시 강서구 등촌동 등촌로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5405722,126.8637374
위드핏,헬스/휘트니스,서울특별시 영등포구 당산동 버드나루로19길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5285139,126.9073244
동네점핑,N,서울특별시 영등포구 당산동5가 당산로44길,,,,,,,,,,,,37.5310512,126.9025376
조남진짐,N,서울특별시 서초구 서초동 서초중앙로24길,,,,,,,,,,,,,
리스펙짐,헬스/휘트니스,서울특별시 서초구 서초동 반포대로,스트레스 해소; 감정 자극,,,,,,,,,,,,
헬스BOY,헬스/휘트니스,서울특별시 송파구 석촌동 가락로11길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5014581,127.1044968
BILLIONGYM,헬스/휘트니스,서울특별시 영등포구 양평동3가 선유동1로,스트레스 해소; 감정 자극,,,,,,,,,,,37.527162,126.8926481
트리니코스,헬스/휘트니스,서울특별시 금천구 시흥동 금하로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4515778,126.9075746
라이프체인지PT,헬스/휘트니스,서울특별시 강동구 길동 양재대로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5375025,127.1398729
원GYM,헬스/휘트니스,서울특별시 용산구 한강로3가 이촌로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5276712,126.9549574
소마앤바디,헬스/휘트니스,서울특별시 마포구 노고산동 신촌로20길,스트레스 해소; 감정 자극,,,,,,,,,,,,
이너멜피트니스,헬스/휘트니스,서울특별시 관악구 신림동 신림로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4865326,126.9292144
머슬뱅크짐,헬스/휘트니스,서울특별시 영등포구 도림동 도신로,스트레스 해소; 감정 자극,,,,,,,,,,,37.509179,126.9066649
메이드짐,헬스/휘트니스,서울특별시 구로구 구로동 디지털로33길,스트레스 해소; 감정 자극,,,,,,,,,,,,
투에스짐,헬스/휘트니스,서울특별시 광진구 구의동 자양로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5465347,127.086873
잼짐,헬스/휘트니스,서울특별시 서초구 반포동 서초중앙로,스트레스 해소; 감정 자극,,,,,,,,,,,,
레인지엑스명일,N,서울특별시 강동구 명일동 양재대로,,,,,,,,,,,,,
퍼플피플,헬스/휘트니스,서울특별시 중랑구 중화동 중랑역로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5943736,127.0771293
묵2동문화체육복합센터,지역체육센터,서울특별시 중랑구 묵동 중랑역로,에너지 회복; 스트레스 해소,,,,,,,,,,,37.6160743,127.0778242
내일도점핑,N,서울특별시 송파구 거여동 오금로,,,,,,,,,,,,37.4928821,127.1482937
에이스피릿오브저니,지역체육센터,서울특별시 강남구 논현동 논현로,에너지 회복; 스트레스 해소,,,,,,,,,,,37.5140379,127.0306696
베네짐,헬스/휘트니스,서울특별시 중구 신당동 다산로,스트레스 해소; 감정 자극,,,,,,,,,,,37.567665,127.0160853
피티다움,헬스/휘트니스,서울특별시 영등포구 양평동3가 선유서로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5264516,126.8864411
루아르당구장,당구장,서울특별시 강남구 도곡동 도곡로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4932782,127.0437644
부티짐,헬스/휘트니스,서울특별시 노원구 상계동 노해로,스트레스 해소; 감정 자극,,,,,,,,,,,,
크로스핏바이브온,헬스/휘트니스,서울특별시 영등포구 신길동 가마산로89길,스트레스 해소; 감정 자극,,,,,,,,,,,,
더보스짐,헬스/휘트니스,서울특별시 금천구 시흥동 시흥대로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4482484,126.9032231
CG당구클럽,당구장,서울특별시 송파구 방이동 올림픽로30길,스트레스 해소; 감정 자극,,,,,,,,,,,,
봉천태양체육관,N,서울특별시 관악구 봉천동 양녕로,,,,,,,,,,,,37.4856016,126.9469055
중랑당구발전소,당구장,서울특별시 중랑구 망우동 망우로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6009997,127.1054692
논현당구클럽,당구장,서울특별시 강남구 논현동 학동로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5125721,127.0263956
UCPTYOGA,헬스/휘트니스,서울특별시 강동구 길동 명일로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5445865,127.1482032
핏인라이프,헬스/휘트니스,서울특별시 마포구 대흥동 토정로31길,스트레스 해소; 감정 자극,,,,,,,,,,,,
크로스핏라이노,헬스/휘트니스,서울특별시 강서구 방화동 방화대로48길,스트레스 해소; 감정 자극,,,,,,,,,,,37.576,126.81837
뷰티짐,헬스/휘트니스,서울특별시 노원구 상계동 노해로,스트레스 해소; 감정 자극,,,,,,,,,,,,
마운틴짐,헬스/휘트니스,서울특별시 강서구 내발산동 공항대로42길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5565275,126.8439563
VIP캐롬클럽,당구장,서울특별시 광진구 화양동 군자로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5465314,127.070199
킥클래스GYM,헬스/휘트니스,서울특별시 중랑구 묵동 중랑역로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6160743,127.0778242
워터힐헬스,헬스/휘트니스,서울특별시 동작구 신대방동 신대방1가길,스트레스 해소; 감정 자극,,,,,,,,,,,,
허슬러당구클럽,당구장,서울특별시 서초구 서초동 법원로2길,스트레스 해소; 감정 자극,,,,,,,,,,,,
바디온도,헬스/휘트니스,서울특별시 동대문구 답십리동 전농로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5668092,127.0563706
HELIOGYM,헬스/휘트니스,서울특별시 중랑구 상봉동 망우로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5983215,127.0930302
다조아GYM,헬스/휘트니스,서울특별시 관악구 봉천동 관악로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4812588,126.9527443
무지개당구장,당구장,서울특별시 은평구 갈현동 통일로,스트레스 해소; 감정 자극,,,,,,,,,,,,
AML,헬스/휘트니스,서울특별시 강남구 논현동 선릉로127길,스트레스 해소; 감정 자극,,,,,,,,,,,,
박S당구장,당구장,서울특별시 강북구 수유동 수유로,스트레스 해소; 감정 자극,,,,,,,,,,,,
블랙스짐,헬스/휘트니스,서울특별시 광진구 중곡동 용마산로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5633231,127.0869713
상원골프,N,서울특별시 은평구 구산동 서오릉로,,,,,,,,,,,,37.6128773,126.9139503
데일리앤핏,헬스/휘트니스,서울특별시 강남구 역삼동 도곡로,스트레스 해소; 감정 자극,,,,,,,,,,,,
물빛당구장,당구장,서울특별시 은평구 수색동 수색로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5808953,126.8976096
플렉스피티,헬스/휘트니스,서울특별시 서대문구 연희동 연희맛로,스트레스 해소; 감정 자극,,,,,,,,,,,37.56642,126.928323
짐나지움,지역체육센터,서울특별시 서초구 양재동 헌릉로,에너지 회복; 스트레스 해소,,,,,,,,,,,37.4636708,127.0450913
크로스핏남산,헬스/휘트니스,서울특별시 용산구 남영동 한강대로72길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5405478,126.9740775
GOTO휘트니스,헬스/휘트니스,서울특별시 금천구 시흥동 시흥대로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4482484,126.9032231
에버빌리어드클럽,당구장,서울특별시 관악구 봉천동 청림6길,스트레스 해소; 감정 자극,,,,,,,,,,,,
케이엔씨헬스바이오,헬스/휘트니스,서울특별시 영등포구 여의도동 63로,스트레스 해소; 감정 자극,,,,,,,,,,,,
라이트짐,헬스/휘트니스,서울특별시 강남구 일원동 일원로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4822397,127.0841024
서울신정FC,헬스/휘트니스,서울특별시 강서구 화곡동 까치산로28길,스트레스 해소; 감정 자극,,,,,,,,,,,,
쏘핏,헬스/휘트니스,서울특별시 강남구 개포동 선릉로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4792126,127.0647854
드바디샵,헬스/휘트니스,서울특별시 광진구 구의동 광나루로56길,스트레스 해소; 감정 자극,,,,,,,,,,,,
피케이짐,헬스/휘트니스,서울특별시 구로구 구로동 디지털로26길,스트레스 해소; 감정 자극,,,,,,,,,,,,
홀인원실내골프연습장,실내골프/스크린골프,서울특별시 강동구 천호동 양재대로,에너지 회복; 스트레스 해소,,,,,,,,,,,,
크로스핏타키온,헬스/휘트니스,서울특별시 노원구 월계동 광운로,스트레스 해소; 감정 자극,,,,,,,,,,,,
성수제이펍,N,서울특별시 성동구 성수동2가 광나루로,,,,,,,,,,,,,
프렌즈스크린서울대입구역,N,서울특별시 관악구 봉천동 남부순환로,,,,,,,,,,,,37.482356,126.9492131
탁구앤짐,헬스/휘트니스,서울특별시 관악구 봉천동 남부순환로218길,스트레스 해소; 감정 자극,,,,,,,,,,,,
